id,ชุด,ชนิด,type,correct,เลขที่ต้องมี,เลขที่พบในเฉลย,ร้อยละในเฉลย,ร้อยละในโจทย์,ธง,ตัวอย่างเลขที่หาย,given 120 ตัวอักษร
alvl1-2569-03-q06,alvl1-2569-03,รูป,mc,4,158,4,2%,0%,🟠 น่าสงสัย,-2.3 4.3 -0.5 4.5 3.1623 -1.94,
alvl1-2569-03-q07,alvl1-2569-03,รูป,mc,0,6,5,83%,0%,🟢 น่าจะเห็น,62,
alvl1-2569-03-q11,alvl1-2569-03,รูป,mc,0,7,3,42%,0%,🟠 น่าสงสัย,24 -6 -10 555,
alvl1-2569-03-q12,alvl1-2569-03,รูป,mc,4,13,2,15%,7%,🟠 น่าสงสัย,-1.4 1.4 -1 999 0.309 0.951,
alvl1-2569-03-q14,alvl1-2569-03,รูป,mc,3,10,5,50%,0%,🟢 น่าจะเห็น,-1.5 1.5 73 -20 30,
alvl1-2569-03-q15,alvl1-2569-03,รูป,mc,2,12,1,8%,0%,🟠 น่าสงสัย,50 82 270 248 148 28,
alvl1-2569-03-q16,alvl1-2569-03,รูป,mc,1,12,2,16%,0%,🟠 น่าสงสัย,26 -1.3 7.5 -0.75 5.6 4.2,
alvl1-2569-03-q19,alvl1-2569-03,ตาราง,mc,1,13,6,46%,15%,🟠 น่าสงสัย,0.5000 1.5 0.9332 -3.5 3.5 2.1,
alvl1-2569-03-q25,alvl1-2569-03,รูป,mc,1,16,1,6%,0%,🟠 น่าสงสัย,-2.6 5.7 -2.1 4.6 -0.166667 0.5,
alvl1-2569-03-q30,alvl1-2569-03,รูป,fill,3250,28,0,0%,0%,🔴 ไม่เคยเห็น,-0.7 6.1 -2.7 2.95 0.012 -0.094,
chap-01-set-q26,chap-01-set,รูป,mc,2,8,0,0%,0%,🔴 ไม่เคยเห็น,-0.25 -0.2 -0.16667 74 11 32,
chap-01-set-q39,chap-01-set,รูป,mc,0,1,1,100%,100%,🔵 โจทย์มีเลขครบ,,
chap-01-set-q40,chap-01-set,รูป,mc,0,5,5,100%,0%,🟢 น่าจะเห็น,,
chap-01-set-q43,chap-01-set,รูป,mc,0,1,1,100%,0%,🟢 น่าจะเห็น,,
chap-01-set-q44,chap-01-set,รูป,fill,415,4,4,100%,100%,🔵 โจทย์มีเลขครบ,,
chap-01-set-q45,chap-01-set,รูป,mc,1,2,2,100%,50%,🟢 น่าจะเห็น,,
chap-01-set-q46,chap-01-set,รูป,mc,0,5,5,100%,80%,🔵 โจทย์มีเลขครบ,,
chap-01-set-q47,chap-01-set,รูป,fill,13,4,4,100%,75%,🟢 น่าจะเห็น,,
chap-01-set-q48,chap-01-set,รูป,mc,2,5,1,20%,20%,🟠 น่าสงสัย,20 22 23 11,
chap-01-set-q49,chap-01-set,รูป,mc,3,6,6,100%,50%,🟢 น่าจะเห็น,,
chap-01-set-q51,chap-01-set,รูป,mc,1,4,2,50%,50%,🟢 น่าจะเห็น,19 15,
chap-01-set-q52,chap-01-set,รูป,mc,1,3,3,100%,33%,🟢 น่าจะเห็น,,
chap-01-set-q76,chap-01-set,รูป,fill,90,2,2,100%,100%,🔵 โจทย์มีเลขครบ,,
